id_entrance;name;id_station;direction;lat;lon;max_width;min_step;min_step_ramp;lift;lift_minus_step;min_rail_width;max_rail_width;max_angle
19252;Тургеневская площадь (внешняя сторона Бульварного кольца);8;out;55.76567532;37.6375741499999;750;21;21;0;0;0;0;0
19253;Тургеневская площадь (внешняя сторона Бульварного кольца);95;both;55.7656753199999;37.6375741499999;790;64;44;0;0;405;905;20
19260;Строгинский бульвар (запад);211;both;55.8036358091;37.4013830402;940;41;34;0;0;0;0;3
19261;Строгинский бульвар (запад);211;both;55.8038234711;37.4004916456;940;44;0;0;0;0;0;5
19270;Строгинский бульвар (запад);211;both;55.8043523369;37.4018394001;940;37;37;0;30;0;0;0
19271;Строгинский бульвар (запад);211;both;55.8045399989;37.4009437405;940;36;36;0;30;0;0;0
19280;Строгинский бульвар (восток);211;both;55.8030259075;37.4042491512;940;75;68;1;30;0;0;4
19281;Строгинский бульвар (восток);211;both;55.8028382455;37.4051405458;940;74;67;1;30;0;0;4
19290;Строгинский бульвар (восток);211;both;55.803716845;37.4047268364;940;67;67;1;30;0;0;0
19291;Строгинский бульвар (восток);211;both;55.8035206529;37.4056310261;940;65;30;1;30;0;0;0
19300;Киевская улица;58;in;55.7388971564;37.5483342554;730;23;23;0;0;0;0;0
19301;Киевская улица;58;out;55.7388652216;37.5482327484;570;23;23;0;0;0;0;0
19302;Киевская улица;58;out;55.7389290912;37.5484836646;550;23;23;0;0;0;0;0
19310;На юго-запад;94;out;55.772271448;37.6321228094;840;35;0;0;0;300;766;17
19311;На юго-запад;94;out;55.772271448;37.6321228094;566;35;0;0;0;300;766;17
19312;На северо-запад, за Садовое кольцо;94;out;55.7730250194;37.6318757881;840;35;0;0;0;375;900;16
19313;На северо-запад, за Садовое кольцо;94;out;55.7730250194;37.6318757881;566;35;0;0;0;375;900;16
19320;На юго-восток, в сквер;94;out;55.7723183508;37.6331108948;840;40;34;0;0;300;760;16
19321;На юго-восток, в сквер;94;out;55.7723183508;37.6331108948;566;40;34;0;0;300;760;16
19322;На северо-восток, на проспект Мира, к Склифу;94;out;55.7729593555;37.6329232837;840;41;0;0;0;360;815;16
19323;На северо-восток, на проспект Мира, к Склифу;94;out;55.7729593555;37.6329232837;566;41;0;0;0;360;815;16
19330;К области, на улицу Яниса Райниса, на троллейбус в запданом на наравлении;127;out;55.8514236165;37.4385711124;700;34;34;0;0;0;0;0
19331;К области, на улицу Яниса Райниса, на троллейбус в запданом на наравлении;127;in;55.8514236165;37.4385711124;700;67;34;0;0;0;0;0
19340;К области, на травмай;127;out;55.8516237199;37.4388837741;700;37;1;0;0;280;540;20
19341;К области, на травмай;127;in;55.8516237199;37.4388837741;700;70;1;0;0;280;540;20
19350;К центру, на южную сторону бульвара Яна Райниса, на запад;127;both;55.8495476464;37.4392996141;740;60;0;0;0;0;0;0
19360;К центру, на западную сторону Сходненской улицы;127;both;55.8493319099;37.4393621464;740;59;25;0;0;350;800;20
19370;К области, на ул. Героев-Панфиловцев;127;out;55.851664366;37.4400531287;700;37;0;0;0;300;560;18
19371;К области, на ул. Героев-Панфиловцев;127;in;55.851664366;37.4400531287;700;70;0;0;0;300;560;18
19380;К области, на северо-восток;127;out;55.8515518078;37.4402626121;700;36;1;0;0;400;880;20
19381;К области, на северо-восток;127;in;55.8515518078;37.4402626121;700;69;1;0;0;400;880;20
19390;К центру, на автобусную остановку на север;127;both;55.849682091;37.4407628707;740;58;25;0;0;300;600;16
19400;К центру на Сходненскую улицу, восточную сторону;127;both;55.8492130985;37.4407753772;740;54;54;0;0;0;0;0
19410;К центру, на Химкинский бульвар и ТРЦ Калейдоскоп;127;both;55.8496133054;37.4410755324;740;58;58;0;0;0;0;0
19420;Улица Большие Каменщики, западная сторона;72;both;55.73943829;37.65295616;740;28;28;0;0;0;0;0
19430;На южную часть площади;72;both;55.73972482;37.65336779;740;32;32;0;0;0;0;0
19440;На улицу Большие Каменщики, восточную сторону;116;both;55.73944729;37.653612;740;30;30;0;0;0;0;0
19450;Вход с северной стороны площади на Кольцевую;116;in;55.7422444774;37.6537130213;750;0;0;0;0;0;0;0
19451;Выход с Кольцевой на северную сторону площади;116;out;55.7423709601;37.6535205476;750;0;0;0;0;0;0;0
19460;К Макдональдсу;33;in;55.7652963714;37.6040681849;790;44;44;0;0;0;0;0
19461;К Макдональдсу;33;out;55.7652963714;37.6040681849;550;44;44;0;0;0;0;0
19462;На Тверскую, западную сторону, в направлении области;33;in;55.7652963714;37.6040681849;790;43;43;0;0;310;750;20
19463;На Тверскую, западную сторону, в направлении области;33;out;55.7652963714;37.6040681849;550;43;43;0;0;310;750;20
19470;На Тверской бульвар со стороны центра;33;in;55.7642594152;37.6056629448;790;44;44;0;0;0;0;0
19471;На Тверской бульвар со стороны центра;33;out;55.7642594152;37.6056629448;550;44;44;0;0;0;0;0
19472;На Тверскую, западную сторону, в направлении центра;33;in;55.7642490664;37.605770573;790;44;44;0;0;0;0;0
19473;На Тверскую, западную сторону, в направлении центра;33;out;55.7642490664;37.605770573;550;44;44;0;0;0;0;0
19474;На Тверскую, восточную сторону, в направлении области;33;out;55.76572;37.60419;550;46;14;0;0;0;0;0
19475;На Тверскую, восточную сторону, в направлении области;33;out;55.76572;37.60419;550;46;14;0;0;0;0;0
19480;Театральный проезд, РАМТ, Большой театр;32;both;55.7588446199999;37.6178125799999;790;36;36;0;0;0;0;0
19481;Театральный проезд, РАМТ, Большой театр;10;both;55.7588446199999;37.6178125799999;790;36;36;0;0;0;0;0
19490;На Шоссейную улицу;113;out;55.7085241632;37.7288833537;560;31;0;0;0;307;715;22
19491;С Шоссейной улицы;113;in;55.7085241632;37.7288833537;800;59;25;0;0;300;765;25
19500;В область, на север по Люблинской улице;113;out;55.7095516554;37.7331315593;800;25;0;0;0;290;765;25
19501;В область, на север по Люблинской улице;113;in;55.7095516554;37.7331315593;800;31;0;0;0;307;715;22
19510;В область, на южную сторону Волгоградского проспекта;113;out;55.7089780754;37.7336721275;800;27;1;0;0;346;820;25
19511;В область, на южную сторону Волгоградского проспекта;113;in;55.7089780754;37.7336721275;540;25;0;0;0;290;765;25
19520;На Люблинскую улицу;113;out;55.7081899188;37.7298551385;560;25;0;0;0;307;768;22
19521;С Люблинской улицы;113;in;55.7081899188;37.7298551385;540;27;1;0;0;346;820;25
19530;В область, вход с троллейбусов по Волгоградскому проспекту;113;out;55.7095578451;37.7336267363;800;25;25;0;0;0;0;0
19531;В область, вход с троллейбусов по Волгоградскому проспекту;113;in;55.7095578451;37.7336267363;800;25;0;0;0;307;768;22
19540;В область, на автобусы и троллейбусы по Волгоградскому проспекту в область;113;out;55.7089698225;37.7331604446;800;23;23;0;0;0;0;0
19541;В область, на автобусы и троллейбусы по Волгоградскому проспекту в область;113;in;55.7089698225;37.7331604446;540;25;25;0;0;0;0;0
19550;К пригородным  поездам от Москвы;113;out;55.7082683218;37.7293661512;560;59;25;0;0;300;775;25
19551;С платформы пригородных поездов от Москвы;113;in;55.7082683218;37.7293661512;540;23;23;0;0;0;0;0
19552;С платформы пригородных поездов к Москве;113;in;55.7082868909;37.7296219927;800;59;25;0;0;300;775;25
19560;В центр, на улицу  Тёплый Стан;107;both;55.6200577842;37.5055641802;540;58;25;0;0;360;840;18
19561;В центр, на улицу  Тёплый Стан;107;both;55.6197568698;37.505220278;540;57;57;0;0;0;0;0
19570;В центр, к автобусам;107;both;55.6197604521;37.5064131888;540;58;25;0;0;360;840;18
19571;В центр, к автобусам;107;both;55.6194380438;37.5060621219;540;58;58;0;0;0;0;0
19580;Макдональдс;107;both;55.6196386534;37.5072012979;540;56;56;0;0;0;0;0
19590;Автостанция "Теплый стан";107;both;55.6174319477;37.5078676084;550;58;24;0;0;310;810;15
19591;Автостанция "Теплый стан";107;both;55.6172313381;37.5084121202;550;55;55;0;0;0;0;0
19600;Битцевский парк;107;both;55.6177471914;37.5082437514;550;53;24;0;0;360;550;20
19601;Битцевский парк;107;both;55.6175465818;37.5087452755;550;55;26;0;0;250;540;10
19610;К пригородным поездам;134;out;55.8193363621;37.5762740227;520;41;3;0;0;320;610;20
19611;К пригородным поездам;134;in;55.8193363621;37.5762740227;770;41;0;0;0;400;610;21
19612;К монорельсовой дороге, на улицу Яблочкова;134;out;55.8190330803;37.5765085189;520;42;31;0;0;300;640;17
19613;К монорельсовой дороге, на улицу Яблочкова;134;in;55.8190330803;37.5765085189;770;42;28;0;0;400;640;21
19614;Пандус - вход с пригородных поездов;134;out;55.8188704963;37.575961361;520;14;3;0;0;300;640;17
19615;Пандус - вход с пригородных поездов;134;in;55.8188704963;37.575961361;770;14;0;0;0;400;640;21
19620;К Ивановской улице, Красностуденческому проезду;134;out;55.8189768012;37.57435428;520;31;3;0;0;410;870;21
19621;К Ивановской улице, Красностуденческому проезду;134;in;55.8189768012;37.57435428;770;31;0;0;0;410;860;21
19622;К улице Костякова;134;out;55.8186203669;37.5745481303;520;34;34;0;0;0;0;0
19623;К улице Костякова;134;in;55.8186203669;37.5745481303;770;34;31;0;0;400;860;21
19624;Дмитровское шоссе на север;134;out;55.8190799796;37.5749389574;520;37;3;0;0;420;820;18
